
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
msedgewebview2.exe           22136 Console                    5     10,568 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:06 N/A                                                                     
msedgewebview2.exe            9716 Console                    5     18,184 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:33 OleMainThreadWndName                                                    
msedgewebview2.exe            9612 Console                    5      3,216 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
DesktopExtension.exe         16024 Console                    5      5,512 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:19 .NET-BroadcastEventWindow.4.0.0.0.3ce0bb8.0                             
HP.HPX.exe                   31468 Console                    5      6,124 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:05 N/A                                                                     
msedgewebview2.exe           41412 Console                    5     44,112 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:04:12 N/A                                                                     
AppActions.exe               33124 Console                    5      5,208 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:07 OleMainThreadWndName                                                    
RuntimeBroker.exe            29192 Console                    5      2,184 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
ApplicationFrameHost.exe     16552 Console                    5      2,868 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:03 N/A                                                                     
svchost.exe                   6868 Console                    5      1,524 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
cmd.exe                       2332 Console                    5         20 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 C:\windows\system32\cmd.exe                                             
conhost.exe                   8204 Console                    5        320 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
ollama app.exe               29372 Console                    5     12,104 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:47 N/A                                                                     
ollama.exe                   26612 Console                    5      6,916 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:04 C:\Users\Shivansh Singh\AppData\Local\Programs\Ollama\ollama.exe        
conhost.exe                  27340 Console                    5        324 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
WidgetService.exe            41384 Console                    5      2,692 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 N/A                                                                     
brave.exe                    20020 Console                    5      3,116 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:14:30 N/A                                                                     
RuntimeBroker.exe            21204 Console                    5      2,124 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:03 OleMainThreadWndName                                                    
brave.exe                     6840 Console                    5     25,272 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:02:47 N/A                                                                     
svchost.exe                  16068 Console                    5      3,240 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:07 N/A                                                                     
brave.exe                    32108 Console                    5      9,012 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:12:33 N/A                                                                     
OneDrive.exe                  2240 Console                    5   9,58,316 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          9:26:32 GDI+ Window (OneDrive.exe)                                              
OneDrive.Sync.Service.exe     2672 Console                    5      4,672 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:11 Microsoft OneDrive Sync Service                                         
IntelGraphicsSoftware.Ser     8916 Services                   0      4,120 K Unknown         N/A                                                     0:00:07 N/A                                                                     
PresentMonService.exe        20812 Services                   0        784 K Unknown         N/A                                                     0:00:26 N/A                                                                     
conhost.exe                  35336 Services                   0         20 K Unknown         N/A                                                     0:00:00 N/A                                                                     
FileSyncHelper.exe            1984 Services                   0      2,596 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                  36988 Services                   0      1,440 K Unknown         N/A                                                     0:00:01 N/A                                                                     
Figma.exe                    40888 Console                    5     40,744 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:11:16 Feed - Figma                                                            
Figma.exe                    41656 Console                    5        772 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
Figma.exe                     7056 Console                    5     16,684 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:03:22 OleMainThreadWndName                                                    
figma_agent.exe              12092 Console                    5      5,116 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:07:01 N/A                                                                     
Figma.exe                    35968 Console                    5      5,080 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:11 OleMainThreadWndName                                                    
Figma.exe                    31076 Console                    5     16,904 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:02:44 N/A                                                                     
XboxPcAppFT.exe              18576 Console                    5      5,644 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:06 N/A                                                                     
svchost.exe                  26404 Services                   0      2,216 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  22416 Console                    5      1,232 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
dllhost.exe                  33176 Console                    5      2,084 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 OleMainThreadWndName                                                    
svchost.exe                  35888 Services                   0      1,364 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                  34060 Console                    5      1,056 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
dllhost.exe                  38720 Console                    5        600 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 OleMainThreadWndName                                                    
dllhost.exe                  18504 Console                    5        340 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 OleMainThreadWndName                                                    
